         ps       /tb_hybrid_control/HC_inst/i_vC    /tb_hybrid_control/HC_inst/z2       /tb_hybrid_control/HC_half_inst/z2                                          
          delta          /tb_hybrid_control/HC_inst/i_iC        /tb_hybrid_control/HC_inst/jump   /tb_hybrid_control/HC_half_inst/jump_1                             
                                        /tb_hybrid_control/HC_inst/z1       /tb_hybrid_control/HC_half_inst/z1    /tb_hybrid_control/HC_half_inst/sigma              
                                                                 /tb_hybrid_control/HC_inst/sigma              /tb_hybrid_control/HC_half_inst/jump_2                
          0  +0                                 x      x            x            x            x 0            x            x            x            x 0 
   22600000  +1                              5970   5607         4004         5607     -5598992 1         4004         5607      5598992     -4015214 1 
   22700000  +1                              6144   5416         4178         5416     -5407644 1         4178         5416      5407644     -4188832 1 
   22800000  +1                              6311   5221         4345         5221     -5212310 1         4345         5221      5212310     -4355442 1 
   22900000  +1                              6472   5020         4506         5020     -5010988 1         4506         5020      5010988     -4516040 1 
   23000000  +1                              6626   4814         4660         4814     -4804680 1         4660         4814      4804680     -4669628 1 
   23100000  +1                              6774   4604         4808         4604     -4594384 1         4808         4604      4594384     -4817208 1 
   23200000  +1                              6915   4388         4949         4388     -4378102 1         4949         4388      4378102     -4957776 1 
   23300000  +1                              7050   4169         5084         4169     -4158832 1         5084         4169      4158832     -5092338 1 
   23400000  +1                              7177   3946         5211         3946     -3935578 1         5211         3946      3935578     -5218892 1 
   23500000  +1                              7298   3718         5332         3718     -3707336 1         5332         3718      3707336     -5339436 1 
   23600000  +1                              7411   3487         5445         3487     -3476110 1         5445         3487      3476110     -5451974 1 
   23700000  +1                              7517   3253         5551         3253     -3241898 1         5551         3253      3241898     -5557506 1 
   23800000  +1                              7615   3015         5649         3015     -3003702 1         5649         3015      3003702     -5655030 1 
   23900000  +1                              7706   2774         5740         2774     -2762520 1         5740         2774      2762520     -5745548 1 
   24000000  +1                              7790   2531         5824         2531     -2519352 1         5824         2531      2519352     -5829062 1 
   24100000  +1                              7865   2285         5899         2285     -2273202 1         5899         2285      2273202     -5903570 1 
   24200000  +1                              7933   2037         5967         2037     -2025066 1         5967         2037      2025066     -5971074 1 
   24300000  +1                              7993   1786         6027         1786     -1773946 1         6027         1786      1773946     -6030572 1 
   24400000  +1                              8045   1534         6079         1534     -1521842 1         6079         1534      1521842     -6082068 1 
   24500000  +1                              8090   1281         6124         1281     -1268752 1         6124         1281      1268752     -6126562 1 
   24600000  +1                              8126   1026         6160         1026     -1013680 1         6160         1026      1013680     -6162052 1 
   24700000  +1                              8154    770         6188          770      -757624 1         6188          770       757624     -6189540 1 
   24800000  +1                              8174    514         6208          514      -501584 1         6208          514       501584     -6209028 1 
   24900000  +1                              8186    257         6220          257      -244560 1         6220          257       244560     -6220514 1 
   25000000  +1                              8191      0         6225            0        12450 1         6225            0       -12450     -6225000 1 
   25000000  +2                              8191      0         6225            0        12450 0         6225            0       -12450     -6225000 0 
   25010000  +2                              8191      0        10157            0        20314 0        10157            0        20314     10157000 0 
   25100000  +1                              8186   -257        10152         -257       277304 0        10152         -257       277304     10151486 0 
   25200000  +1                              8174   -514        10140         -514       534280 0        10140         -514       534280     10138972 0 
   25300000  +1                              8154   -770        10120         -770       790240 0        10120         -770       790240     10118460 0 
   25400000  +1                              8126  -1026        10092        -1026      1046184 0        10092        -1026      1046184     10089948 0 
   25500000  +1                              8090  -1281        10056        -1281      1301112 0        10056        -1281      1301112     10053438 0 
   25600000  +1                              8045  -1534        10011        -1534      1554022 0        10011        -1534      1554022     10007932 0 
   25700000  +1                              7993  -1786         9959        -1786      1805918 0         9959        -1786      1805918      9955428 0 
   25800000  +1                              7933  -2037         9899        -2037      2056798 0         9899        -2037      2056798      9894926 0 
