         ps       /tb_hybrid_control/HC_inst/o_sigma        /tb_hybrid_control/HC_inst/vC_32      /tb_hybrid_control/HC_inst/stheta        /tb_hybrid_control/HC_inst/jump             /tb_hybrid_control/HC_inst/z12                                 
          delta             /tb_hybrid_control/HC_inst/i_vC              /tb_hybrid_control/HC_inst/iC_32          /tb_hybrid_control/HC_inst/z1          /tb_hybrid_control/HC_inst/jump_1         /tb_hybrid_control/HC_inst/z22                    
                                   /tb_hybrid_control/HC_inst/i_iC                   /tb_hybrid_control/HC_inst/ctheta          /tb_hybrid_control/HC_inst/z2          /tb_hybrid_control/HC_inst/jump_2                                              
                                             /tb_hybrid_control/HC_inst/i_theta                                                             /tb_hybrid_control/HC_inst/sigma                                                                          
                                                                                                                                                 /tb_hybrid_control/HC_inst/s2                                                                        
          0  +0                                  StX      x      x            x            x            x            x            x            x            x            x 1 0            x            x            x            x 
    9900000  +1                                  St0    257  -8186          314          257        -8186        -1000            2         2223        -8186      8190446 0 0      8190446      2206628         2223        -8186 
   10000000  +1                                  St0      0  -8191          314            0        -8191        -1000            2         1966        -8191      8194932 0 0      8194932      1949618         1966        -8191 
   10100000  +1                                  St0   -257  -8186          314         -257        -8186        -1000            2         1709        -8186      8189418 0 0      8189418      1692628         1709        -8186 
   10200000  +1                                  St0   -514  -8174          314         -514        -8174        -1000            2         1452        -8174      8176904 0 0      8176904      1435652         1452        -8174 
   10300000  +1                                  St0   -770  -8154          314         -770        -8154        -1000            2         1196        -8154      8156392 0 0      8156392      1179692         1196        -8154 
   10400000  +1                                  St0  -1026  -8126          314        -1026        -8126        -1000            2          940        -8126      8127880 0 0      8127880       923748          940        -8126 
   10500000  +1                                  St0  -1281  -8090          314        -1281        -8090        -1000            2          685        -8090      8091370 0 0      8091370       668820          685        -8090 
   10600000  +1                                  St0  -1534  -8045          314        -1534        -8045        -1000            2          432        -8045      8045864 0 0      8045864       415910          432        -8045 
   10700000  +1                                  St0  -1786  -7993          314        -1786        -7993        -1000            2          180        -7993      7993360 0 0      7993360       164014          180        -7993 
   10800000  +1                                  St0  -2037  -7933          314        -2037        -7933        -1000            2          -71        -7933      7932858 0 0      7932858       -86866          -71        -7933 
   10900000  +1                                  St0  -2285  -7865          314        -2285        -7865        -1000            2         -319        -7865      7864362 0 0      7864362      -334730         -319        -7865 
   11000000  +1                                  St0  -2531  -7790          314        -2531        -7790        -1000            2         -565        -7790      7788870 0 0      7788870      -580580         -565        -7790 
   11100000  +1                                  St0  -2774  -7706          314        -2774        -7706        -1000            2         -808        -7706      7704384 0 0      7704384      -823412         -808        -7706 
   11200000  +1                                  St0  -3015  -7615          314        -3015        -7615        -1000            2        -1049        -7615      7612902 0 0      7612902     -1064230        -1049        -7615 
   11300000  +1                                  St0  -3253  -7517          314        -3253        -7517        -1000            2        -1287        -7517      7514426 0 0      7514426     -1302034        -1287        -7517 
   11400000  +1                                  St0  -3487  -7411          314        -3487        -7411        -1000            2        -1521        -7411      7407958 0 0      7407958     -1535822        -1521        -7411 
   11500000  +1                                  St0  -3718  -7298          314        -3718        -7298        -1000            2        -1752        -7298      7294496 0 0      7294496     -1766596        -1752        -7298 
   11600000  +1                                  St0  -3946  -7177          314        -3946        -7177        -1000            2        -1980        -7177      7173040 0 0      7173040     -1994354        -1980        -7177 
   11700000  +1                                  St0  -4169  -7050          314        -4169        -7050        -1000            2        -2203        -7050      7045594 0 0      7045594     -2217100        -2203        -7050 
   11800000  +1                                  St0  -4388  -6915          314        -4388        -6915        -1000            2        -2422        -6915      6910156 0 0      6910156     -2435830        -2422        -6915 
   11900000  +1                                  St0  -4604  -6774          314        -4604        -6774        -1000            2        -2638        -6774      6768724 0 0      6768724     -2651548        -2638        -6774 
   12000000  +1                                  St0  -4814  -6626          314        -4814        -6626        -1000            2        -2848        -6626      6620304 0 0      6620304     -2861252        -2848        -6626 
